Date,Adj Close,Capital Gains,Close,Dividends,High,Low,Open,Stock Splits,Volume
2024-09-24,34.74289322,0,35.06999969,0.06,35.70000076,33.58000183,34.84000015,0,83369600
2024-09-25,35.40664673,0,35.74000168,0,36.45999908,34.65000153,34.70999908,0,73587500
2024-09-26,39.28017426,0,39.65000153,0,40.50999832,36.70999908,40.20000076,0,138171800
2024-09-27,37.30873489,0,37.65999985,0,40.00999832,37.09999847,40,0,85253500
2024-09-30,36.33787918,0,36.68000031,0,37.40999985,35.04999924,36.25,0,74316700
2024-10-01,33.51446152,0,33.83000183,0,36.99000168,32.74000168,36.59000015,0,124928300
2024-10-02,34.63391495,0,34.95999908,0,36.04999924,33.15999985,33.84999847,0,81729100
2024-10-03,34.88158798,0,35.20999908,0,36.61000061,33.97999954,34.06999969,0,86857200
2024-10-04,36.33787918,0,36.68000031,0,37.52999878,35.45000076,37.31000137,0,100846900
2024-10-07,36.07039261,0,36.40999985,0,37.24000168,35.56999969,35.91999817,0,73150200
2024-10-08,37.11059952,0,37.45999908,0,37.83000183,35.65999985,36.41999817,0,66629700
2024-10-09,38.24987793,0,38.61000061,0,38.75999832,36.52999878,37.29000092,0,67182800
2024-10-10,37.47714996,0,37.83000183,0,38.41999817,36.36000061,37.09999847,0,79999000
2024-10-11,38.30931091,0,38.66999817,0,39.04999924,36.86000061,36.93000031,0,58434500
2024-10-14,40.43926239,0,40.81999969,0,41.06000137,39.34999847,39.43999863,0,69661800
2024-10-15,34.14849091,0,34.47000122,0,41.18999863,33.63999939,40.49000168,0,131664200
2024-10-16,34.13858032,0,34.45999908,0,35.75,34,35.75,0,70233000
2024-10-17,34.88158798,0,35.20999908,0,37.36000061,35.20999908,37.16999817,0,97549000
2024-10-18,34.94102859,0,35.27000046,0,36.33000183,34.84999847,36.25,0,56704300
2024-10-21,34.76270294,0,35.09000015,0,35.38000107,33.72999954,34.84000015,0,59115800
2024-10-22,34.366436,0,34.68999863,0,35.02999878,33.84999847,34.40000153,0,51493100
2024-10-23,33.4847374,0,33.79999924,0,34.88000107,32.29000092,34.40999985,0,81658300
2024-10-24,33.97016907,0,34.29000092,0,34.74000168,33.52999878,34.58000183,0,60128300
2024-10-25,34.95093536,0,35.27999878,0,36.86999893,35.16999817,35.18999863,0,82300500
2024-10-28,35.02027893,0,35.34999847,0,36.09000015,34.75,35.29999924,0,51661100
2024-10-29,37.6257515,0,37.97999954,0,38.45000076,34.93999863,35.45999908,0,72288200
2024-10-30,33.69277954,0,34.00999832,0,35.70000076,33.90999985,34.97000122,0,89440100
2024-10-31,29.80934334,0,30.09000015,0,33.02000046,29.22999954,33.00999832,0,135437800
2024-11-01,30.54244041,0,30.82999992,0,31.82999992,30.37999916,30.69000053,0,80726000
2024-11-04,30.06691742,0,30.35000038,0,31.67000008,30.01000023,30.61000061,0,60422400
2024-11-05,31.08730888,0,31.37999916,0,31.48999977,30.25,30.36000061,0,63174900
2024-11-06,33.801754,0,34.11999893,0,34.5,32.40000153,33.25,0,97893100
2024-11-07,35.87225723,0,36.20999908,0,36.36999893,35.43999863,35.77000046,0,77945800
2024-11-08,35.07972336,0,35.40999985,0,36.27999878,34.84000015,35.56000137,0,62666300
2024-11-11,32.46434784,0,32.77000046,0,34.40999985,31.47999954,34.34999847,0,99155700
2024-11-12,31.37460709,0,31.67000008,0,32.54999924,30.37999916,32.36999893,0,75694800
2024-11-13,29.4130764,0,29.69000053,0,31.21999931,29.46999931,30.82999992,0,92269200
2024-11-14,29.32391357,0,29.60000038,0,30.84000015,29.37999916,30.59000015,0,68994200
2024-11-15,26.41133499,0,26.65999985,0,28.48999977,26.43000031,28.01000023,0,113560200
2024-11-18,27.41191483,0,27.67000008,0,27.82999992,26.29999924,26.70000076,0,70256700
2024-11-19,27.59023666,0,27.85000038,0,28.03000069,27.09000015,27.37000084,0,57030600
2024-11-20,26.87695122,0,27.12999916,0,27.55999947,26,27.34000015,0,90911700
2024-11-21,28.22426414,0,28.48999977,0,28.92000008,26.46999931,28.04999924,0,106013200
2024-11-22,28.22426414,0,28.48999977,0,28.69000053,27.84000015,28.25,0,52604100
2024-11-25,29.05643082,0,29.32999992,0,30.10000038,28.73999977,29.57999992,0,70536000
2024-11-26,27.86762619,0,28.12999916,0,30.25,27.45999908,30.04000092,0,73204200
2024-11-27,26.72834969,0,26.97999954,0,27.75,25.57999992,27.68000031,0,84235700
2024-11-29,27.79827499,0,28.05999947,0,29.04000092,27.5,27.54999924,0,54303400
2024-12-02,29.91831779,0,30.20000076,0,30.79999924,28.45999908,28.55999947,0,89389800
2024-12-03,29.45270157,0,29.72999954,0,30.28000069,29.39999962,29.57999992,0,59730300
2024-12-04,30.59197426,0,30.87999916,0,31.55999947,30.23999977,31.54000092,0,67498800
2024-12-05,28.84839249,0,29.12000084,0,30.87000084,28.87999916,30.75,0,59282100
2024-12-06,29.33382034,0,29.61000061,0,29.86000061,28.89999962,29.20000076,0,49152300
2024-12-09,28.95736313,0,29.22999954,0,30.31999969,28.61000061,29.06999969,0,54963000
2024-12-10,26.80760384,0,27.05999947,0,29.53000069,26.55999947,29.43000031,0,77681700
